Id,Solo_danos,Herido,Muerto,Direccion,Latitud,Longitud,Dia,Mes,A_o,Choque,Atropello,Volcamiento,caida de ocupante,Otro,Rural,Urbana,Masculino,Femenino,<18,18-30,31-60,>60,Tipo_vehiculo,Publico,Particular,Oficial,Diplomatico
1,,1,,"CALLE 39 CRA 27,Calarcá,Quindio",4.5313862,-75.6421157,1,1,2021,X,,,,,,X,2,,,31-29,,,MOTO-MOTO,,2,,
2,,1,,"AVENIDA COLON CALLE 20,Calarcá,Quindio",4.5177686,-75.6534961,1,1,2021,X,,,,,,X,2,,,26,56,,BICICLETA-MOTO,,2,,
3,1,,,"BARRIO LA HUERTA M Q # 1,Calarcá,Quindio",4.514383,-75.643946,1,1,2021,X,,,,,,X,1,,,29,,,AUTOMOVIL,,1,,
4,1,,,"CRA 27 CALLE 39 ESQUINA,Calarcá,Quindio",4.530834,-75.642318,1,1,2021,X,,,,,,X,1,,,,53,,CAMIÓN,1,,,
5,,1,,"CRA 25 CALLE 44 ESQUINA,Calarcá,Quindio",4.533603,-75.63986,2,1,2021,X,,,,,,X,2,,,26,44,,AUTOMOVIL-CAMIONETA,,2,,
6,1,,,"CRA 12 FRENTE # 15+08,Calarcá,Quindio",4.528772,-75.631856,4,1,2021,X,,,,,,X,1,,,,46,,VOLQUETA-AUTOMÓVIL,,2,,
7,,1,,"VIA LA URIBE–CALARCA,Calarcá,Quindio",4.532229,-75.644075,4,1,2021,,,X,,,X,,,1,,26,,,MOTO,,1,,
8,,1,,"CRA 31 CALLE 40,Calarcá,Quindio",4.5310935,-75.6448737,4,1,2021,,,X,,,,X,1,,,,,62,BICICLETA,,1,,
9,1,,,"VIA LA URIBE–CALARCA KM 7+000,Calarcá,Quindio",4.497776,-75.678607,6,1,2021,X,,,,,X,,2,,,32,42,,CAMIONETA-CAMIÓN,1,1,,
10,1,,,"VIA LA URIBE–CALARCA KM 82+400,Calarcá,Quindio",4.521909,-75.64242,6,1,2021,X,,,,,X,,2,,,36,,67,AUTOMÓVIL-TRACTOCAMIÓN,1,1,,
11,,1,,"CALLE 37 CRA 26,Calarcá,Quindio",4.5298329,-75.6434429,6,1,2021,X,,,,,,X,2,,,,46-48,,CAMPERO-MOTO,,2,,
